ArrayList scenario: 1;;
"Insert [%]:	20";;
"RemoveAt [%]:	20";;
"At [%]:		50";;
GetIndexOf [%]:10;;
11;insert;
3;at;
3;at;
3;at;
53;getIndexOf;
3;at;
3;at;
3;at;
11;insert;
11;insert;
3;at;
3;at;
3;at;
11;insert;
11;removeAt;
3;at;
12;insert;
11;removeAt;
3;at;
3;at;
11;insert;
11;removeAt;
11;insert;
11;removeAt;
57;getIndexOf;
11;removeAt;
4;at;
3;at;
3;at;
3;at;
9;getIndexOf;
3;at;
3;at;
11;removeAt;
11;removeAt;
11;insert;
3;at;
11;insert;
3;at;
204;getIndexOf;
3;at;
3;at;
11;insert;
11;insert;
3;at;
11;insert;
3;at;
11;removeAt;
12;removeAt;
3;at;
3;at;
11;insert;
11;insert;
3;at;
3;at;
3;at;
3;at;
11;removeAt;
11;removeAt;
11;removeAt;
11;removeAt;
11;removeAt;
3;at;
11;removeAt;
11;insert;
3;at;
3;at;
11;removeAt;
3;at;
4;at;
3;at;
3;at;
3;at;
3;at;
3;at;
3;at;
3;at;
25;insert;
11;removeAt;
153;getIndexOf;
3;at;
3;at;
3;at;
3;at;
716;getIndexOf;
3;at;
3;at;
374;getIndexOf;
11;insert;
11;removeAt;
3;at;
3;at;
3;at;
3;at;
3;at;
3;at;
3;at;
11;insert;
3;at;
3;at;
232;getIndexOf;
3;at;
3;at;
3;at;
3;at;
58;getIndexOf;
3;at;
3;at;
3;at;
3;at;
11;insert;
3;at;
71;getIndexOf;
3;at;
3;at;
11;insert;
11;removeAt;
3;at;
3;at;
3;at;
3;at;
49;getIndexOf;
11;insert;
11;removeAt;
4;at;
11;insert;
11;removeAt;
11;removeAt;
11;insert;
11;removeAt;
3;at;
3;at;
11;insert;
11;removeAt;
3;at;
11;removeAt;
3;at;
3;at;
11;insert;
11;removeAt;
148;getIndexOf;
11;removeAt;
11;insert;
3;at;
11;insert;
3;at;
3;at;
4;at;
11;insert;
3;at;
3;at;
3;at;
11;removeAt;
3;at;
11;removeAt;
3;at;
3;at;
3;at;
11;insert;
11;insert;
3;at;
3;at;
11;insert;
11;removeAt;
11;removeAt;
3;at;
11;insert;
11;removeAt;
3;at;
3;at;
11;insert;
3;at;
11;removeAt;
106;getIndexOf;
4;at;
12;removeAt;
12;insert;
3;at;
61;getIndexOf;
11;removeAt;
321;getIndexOf;
3;at;
11;removeAt;
11;insert;
138;getIndexOf;
11;removeAt;
71;getIndexOf;
291;getIndexOf;
11;removeAt;
3;at;
3;at;
11;removeAt;
3;at;
11;removeAt;
3;at;
4;at;
171;getIndexOf;
11;insert;
3;at;
3;at;
11;removeAt;
3;at;
208;getIndexOf;
11;removeAt;
3;at;
11;insert;
3;at;
3;at;
3;at;
3;at;
3;at;
3;at;
11;removeAt;
11;insert;
3;at;
221;getIndexOf;
274;getIndexOf;
3;at;
3;at;
85;getIndexOf;
221;getIndexOf;
3;at;
221;getIndexOf;
3;at;
3;at;
11;insert;
3;at;
4;at;
47;getIndexOf;
3;at;
11;insert;
11;insert;
199;getIndexOf;
11;removeAt;
3;at;
11;insert;
11;removeAt;
3;at;
3;at;
11;removeAt;
4;at;
3;at;
11;insert;
3;at;
3;at;
11;insert;
11;insert;
11;removeAt;
11;insert;
3;at;
3;at;
3;at;
11;removeAt;
3;at;
3;at;
61;getIndexOf;
3;at;
11;removeAt;
3;at;
3;at;
11;removeAt;
3;at;
3;at;
3;at;
11;insert;
11;insert;
11;removeAt;
3;at;
3;at;
164;getIndexOf;
3;at;
3;at;
3;at;
3;at;
11;insert;
11;removeAt;
81;getIndexOf;
172;getIndexOf;
100;getIndexOf;
11;removeAt;
3;at;
242;getIndexOf;
11;removeAt;
3;at;
11;insert;
11;insert;
244;getIndexOf;
11;insert;
12;insert;
3;at;
3;at;
11;insert;
3;at;
3;at;
11;removeAt;
3;at;
11;removeAt;
3;at;
11;insert;
